model,strategy,accuracy,auc,f1-score
bert-base-uncased,default,0.7984,0.8842,0.7972
distilbert-base-uncased,default,0.8036,0.8835,0.8003
distilbert-base-uncased,default,0.8207,0.9026,0.8189
distilbert-base-uncased,default,0.8298,0.9107,0.8275
bert-base-uncased,default,0.8311,0.9121,0.8305
microsoft/deberta-v3-base,default,0.8419,0.921,0.8409
microsoft/deberta-v3-base,default,0.87,0.9464,0.87
microsoft/deberta-v3-base,default,0.7671,0.9363,0.7595
distilbert-base-uncased,prompt,0.8635,0.9401,0.8634
microsoft/deberta-v3-base,prompt,0.8772,0.947,0.8769
microsoft/deberta-v3-base,prompt,0.4943,0.7925,0.3308
microsoft/deberta-v3-base,prompt,0.882,0.9495,0.8816
microsoft/deberta-v3-base,tokenized,0.9156,0.9717,0.9155
TinyLlama/TinyLlama-1.1B-Chat-v1.0,tokenized,0.8985,0.9648,0.8985
distilbert-base-uncased-lim,tokenized,0.9871,0.9756,0.9796
bert-base-uncased-lim,tokenized,0.9841,0.9805,0.975
microsoft/deberta-v3-base-lim,tokenized,0.9841,0.9797,0.9749
TinyLlama/TinyLlama-1.1B-Chat-v1.0-lim,prompted-chat,0.9871,0.977,0.9795
microsoft/deberta-v3-base-domain-enriched,tokenized,0.9172,0.9734,0.917
Qwen/Qwen2.5-0.5B-Instruct-domain-enriched-0.6B,tokenized-subset,0.9002,0.9615,0.9001
distilbert-base-uncased-phiusiil-None,only-names,0.852,0.9165,0.8425
bert-base-uncased-phiusiil-None,only-names,0.8473,0.9153,0.836
microsoft/deberta-v3-base-phiusiil-None,only-names,0.862,0.9174,0.8528
distilbert-base-uncased-phiusiil-None,only-names,0.8731,0.9261,0.8677
distilbert-base-uncased-phiusiil-None,only-names,0.8859,0.9398,0.8803
bert-base-uncased-phiusiil-None,only-names,0.8889,0.9408,0.8837
Qwen/Qwen2.5-0.5B-Instruct-phiusiil-0.6B,tokenized-subset,0.8905,0.9415,0.8861
distilbert-base-uncased-phiusiil-None,tokenized-prompt,0.985,0.9989,0.9847
bert-base-uncased-phiusiil-None,tokenized-prompt,0.9851,0.9989,0.9848
microsoft/deberta-v3-base-phiusiil-None,tokenized-prompt,0.986,0.999,0.9856
Qwen/Qwen2.5-0.5B-Instruct-phiusiil-0.6B,tokenized-prompt,0.9873,0.999,0.987
Qwen/Qwen2.5-0.5B-Instruct-lim-0.5B,tokenized-prompt,0.9722,0.9848,0.9556
bert-base-uncased-lim-None,tokenized-prompt,0.9801,0.9847,0.9687
distilbert-base-uncased-lim-None,tokenized-prompt,0.9702,0.9827,0.9525
Qwen/Qwen2.5-0.5B-Instruct-lim-0.5B,tokenized-prompt,0.9732,0.9818,0.9587
 
distilbert-base-uncased-lim-None,only-names,0.9672,0.9627,0.947
bert-base-uncased-lim-None,only-names,0.9642,0.9578,0.9409
microsoft/deberta-v3-base-lim-None,only-names,0.9632,0.969,0.9389
distilbert-base-uncased-lim-None,only-names,0.9886,0.9964,0.9797
distilbert-base-uncased-lim-None,only-names,0.9899,0.9959,0.9819
bert-base-uncased-lim-None,only-names,0.9825,0.9951,0.9694
microsoft/deberta-v3-base-lim-None,only-names,0.9909,0.9971,0.9839
distilbert-base-uncased-lim-None,only-names,0.9878,0.9952,0.9783
distilbert-base-uncased-lim-None,tokenized-prompt,0.9921,0.9994,0.9863
bert-base-uncased-lim-None,tokenized-prompt,0.9954,0.999,0.9919
microsoft/deberta-v3-base-lim-None,tokenized-prompt,0.9957,0.9993,0.9924
distilbert-base-uncased-phiusiil-None,tokenized-prompt,0.9998,1.0,0.9998
bert-base-uncased-phiusiil-None,tokenized-prompt,0.9998,1.0,0.9998
microsoft/deberta-v3-base-phiusiil-None,tokenized-prompt,0.9999,0.9999,0.9999
distilbert-base-uncased-domain-enriched-None,tokenized,0.907,0.965,0.9069
microsoft/deberta-v3-base-domain-enriched-None,only-names,0.844,0.9231,0.8431
microsoft/deberta-v3-base-domain-enriched-None,tokenized,0.9144,0.9689,0.9143
Qwen/Qwen2.5-0.5B-Instruct-domain-enriched-0.5B,tokenized,0.8783,0.9456,0.8781
Qwen/Qwen2.5-0.5B-Instruct-domain-enriched-0.5B,tokenized,0.7375,0.7908,0.7362
Qwen/Qwen2.5-0.5B-Instruct-domain-enriched-0.5B,tokenized,0.5867,0.6274,0.584
